30 73
1 6 95
1 14 -99
1 17 100
1 25 -70
1 29 34
2 3 -28
2 4 28
2 9 -20
2 16 -109
2 21 -108
3 3 22
3 10 -60
3 12 -105
3 30 -36
4 8 63
4 11 -82
4 13 -64
4 29 -69
5 14 -62
5 15 -52
5 25 19
5 27 54
6 22 -92
6 23 70
6 25 -79
6 30 -33
7 21 26
7 23 -58
7 28 -77
7 29 -31
8 10 -50
8 19 -24
8 24 -23
8 27 -16
9 17 -15
9 18 -21
9 20 73
9 24 28
10 20 -92
10 22 -84
10 25 -35
11 13 -26
11 16 87
11 19 69
11 28 -26
12 12 -8
12 13 -103
12 15 -61
12 24 -19
13 22 -68
13 28 -82
14 15 -103
14 25 82
14 27 49
15 27 -35
16 26 81
16 27 -83
16 30 -39
17 18 -100
17 19 87
17 26 -62
18 28 -101
19 24 63
19 26 76
20 23 44
20 24 91
20 29 16
21 23 22
22 28 67
22 30 -69
23 26 -86
26 30 -27
29 29 -21
