25 59
1 3 -25
1 4 -43
1 6 51
1 14 -98
1 19 21
2 11 -95
2 19 -48
2 20 16
3 6 -41
3 7 -96
3 12 79
3 16 84
4 9 -57
4 10 19
4 12 -82
4 19 102
5 8 -26
5 14 -60
5 17 -22
5 21 70
6 11 104
6 18 -104
6 25 -57
7 14 30
7 15 -103
7 20 -108
7 22 -30
8 8 -17
8 13 -102
8 18 51
8 23 77
9 13 -60
9 20 59
9 21 -89
9 22 78
10 24 19
10 25 89
11 13 -69
11 14 -29
11 17 70
12 16 -31
12 22 70
13 15 -20
13 24 83
14 22 79
15 16 33
15 22 70
15 24 -51
16 17 -76
17 18 79
17 24 89
18 21 92
18 25 45
19 21 47
19 25 -84
20 23 -46
20 25 93
21 23 -49
23 24 92
