25 57
1 8 48
1 10 -70
1 13 -86
1 20 47
2 4 -50
2 12 -93
2 15 -69
2 18 -77
2 25 54
3 7 -58
3 15 44
3 16 -26
3 18 -82
3 22 -44
4 6 -82
4 7 -26
4 22 28
4 24 79
5 7 63
5 11 48
5 20 19
5 23 22
6 15 -71
6 17 -62
6 20 -99
6 21 24
7 18 87
7 23 -16
8 8 -24
8 19 -24
9 16 76
9 17 -38
9 19 -96
9 25 64
10 10 -27
10 11 72
10 14 73
11 15 -27
11 20 -79
11 21 81
12 13 -103
12 23 -81
13 21 -26
13 24 -64
13 25 -36
14 14 -9
14 18 -23
14 19 63
14 25 -62
15 24 -55
16 18 22
16 21 87
16 22 -109
17 21 -83
17 24 -31
20 25 20
23 24 63
