45 106
1 25 -81
1 31 60
1 41 37
2 12 21
2 16 -109
2 22 68
2 37 15
2 45 24
3 9 63
3 10 -65
3 15 71
3 30 -91
3 43 -69
4 21 39
4 33 -35
4 45 108
5 8 -83
5 21 -26
5 23 -74
5 26 -35
5 41 -19
6 7 -23
6 8 21
6 16 65
6 20 79
6 24 -96
7 22 54
7 24 -92
7 30 -82
7 39 -34
8 17 30
8 20 -49
8 45 44
9 37 -93
9 39 -40
9 40 -31
10 12 50
10 14 61
10 34 80
10 36 43
11 16 80
11 18 58
11 19 -98
11 38 109
11 42 -94
12 20 -98
12 30 73
12 38 43
13 14 -68
13 22 65
13 29 28
13 33 -100
13 40 18
14 24 97
14 31 48
14 32 33
15 21 -88
15 26 71
15 35 -27
15 38 -92
16 25 -41
16 27 -73
17 18 -71
17 32 -84
17 40 -60
17 44 76
18 31 -53
19 21 37
19 23 -79
19 25 57
19 40 55
20 23 -50
20 43 75
21 29 91
22 32 -19
22 36 44
23 27 -87
23 36 -54
24 27 -32
24 29 40
25 28 -82
25 35 23
26 27 34
26 37 69
26 44 69
27 42 -94
28 32 84
28 37 -65
28 40 109
28 41 -92
29 36 -23
29 45 -18
30 34 -60
30 42 98
31 33 99
31 39 88
33 42 -96
33 43 92
34 35 89
34 41 -30
34 44 56
35 43 -51
36 41 85
37 42 52
43 44 89
44 45 -105
