50 120
1 11 -59
1 15 -67
1 16 -101
1 25 -73
1 45 52
2 11 76
2 18 -64
2 23 51
2 30 37
2 37 98
3 10 -82
3 19 -41
3 21 -45
3 23 -88
3 24 90
4 7 -20
4 10 -94
4 16 -94
4 27 -50
4 47 -56
5 8 -47
5 18 97
5 27 52
5 32 -64
5 41 -25
6 9 -33
6 18 -106
6 35 -61
6 37 -47
6 42 108
7 15 -51
7 17 -43
7 34 70
7 41 89
8 21 74
8 40 -52
8 42 -28
9 12 59
9 19 -55
9 20 -85
9 30 40
10 24 34
10 38 70
10 40 57
11 18 31
11 36 50
11 49 23
12 24 -64
12 25 66
12 33 54
12 49 -101
13 14 46
13 24 -81
13 26 -92
13 29 -91
13 38 -75
14 19 -62
14 27 58
14 29 -71
14 47 83
15 20 96
15 33 -20
15 37 -100
16 31 -62
16 43 -28
16 44 -52
17 25 -70
17 35 108
18 26 -53
19 45 85
19 50 -37
20 39 -61
20 43 -61
20 48 -46
21 28 97
21 36 -84
21 41 56
22 26 48
22 32 -98
22 34 -50
22 42 93
22 44 -62
23 40 -24
23 43 -77
23 49 35
24 25 -98
25 49 -61
26 27 66
26 31 -60
27 42 -61
28 32 91
28 46 -51
29 29 -15
29 32 109
29 39 -72
30 36 24
30 38 94
30 39 25
31 39 89
31 45 -87
31 46 86
32 38 42
33 46 24
33 50 -53
34 37 106
34 41 25
34 49 -48
35 43 -75
36 43 -103
36 45 38
37 47 53
38 38 -6
39 45 43
40 42 -18
41 44 -94
44 48 -94
44 50 -87
46 47 -49
47 50 32
48 50 -98
