30 76
1 3 -23
1 4 26
1 6 -47
1 7 -49
1 30 -26
2 5 -73
2 10 97
2 16 109
2 17 -94
2 21 -44
3 11 96
3 22 20
3 24 45
3 25 -45
4 10 108
4 26 -50
4 28 88
4 30 -83
5 13 -20
5 20 67
5 21 71
5 24 68
6 8 -20
6 14 49
6 15 78
6 19 92
7 12 -92
7 14 37
7 26 -53
7 28 64
8 15 -109
8 19 -104
8 20 -75
8 25 63
9 12 89
9 16 -19
9 22 -21
9 24 -39
9 27 -108
10 26 26
10 27 -78
10 29 74
11 16 -36
11 17 -94
11 22 72
11 30 16
12 21 15
12 23 29
12 28 -47
13 15 -49
13 16 35
13 22 -64
13 27 -64
14 20 83
14 23 -28
14 24 -54
15 17 -23
15 19 39
16 29 38
17 20 54
17 30 52
18 18 14
18 20 23
18 25 -46
19 19 17
19 27 -94
21 21 22
21 29 -56
22 23 37
23 28 -74
23 30 66
24 24 -9
25 27 20
25 29 -77
26 28 46
26 29 -16
