30 73
1 9 78
1 12 -31
1 14 -29
1 23 -49
1 28 -41
2 2 -16
2 5 -94
2 26 25
2 28 -96
2 30 57
3 16 -75
3 19 71
3 22 -45
3 25 -62
3 26 92
4 11 18
4 15 -51
4 18 -43
4 22 -48
4 28 92
5 17 -25
5 30 93
6 9 47
6 13 -40
6 20 33
6 21 52
6 27 81
7 7 -12
7 8 -44
7 12 70
8 9 102
8 12 -47
8 13 77
8 17 -99
9 25 -38
9 27 -96
10 11 70
10 13 -26
10 16 98
10 26 -29
11 17 27
11 30 32
12 18 79
12 19 79
13 24 109
14 16 72
14 18 83
14 19 -78
14 28 -69
15 23 -20
15 27 15
15 29 -64
16 18 -104
16 29 -76
17 21 -76
17 26 88
18 20 45
19 20 23
19 22 34
20 24 33
20 30 -83
21 21 -8
21 23 -25
22 24 -82
22 25 -22
23 23 26
23 28 -102
24 25 19
24 29 102
25 29 59
26 26 18
27 29 70
27 30 -108
