40 95
1 1 17
1 2 99
1 17 -38
1 29 19
2 7 24
2 12 -34
2 25 37
2 33 -84
3 8 -93
3 24 -39
3 36 -45
3 38 -53
3 39 80
4 7 -61
4 8 -70
4 21 -54
4 27 -107
4 36 51
5 5 -19
5 14 31
5 15 60
5 18 55
5 37 -50
6 9 58
6 10 78
6 22 -28
6 27 16
6 29 -101
7 30 75
8 26 55
8 32 -69
8 38 29
9 16 -90
9 30 93
9 35 -70
9 39 84
10 15 -65
10 19 -52
10 24 -23
10 40 47
11 13 64
11 23 -92
11 26 42
11 30 24
11 35 -87
12 21 25
12 23 108
12 36 -42
12 38 103
13 17 -41
13 35 46
14 15 107
14 29 49
14 34 60
14 36 -75
15 18 20
15 34 -35
16 22 -35
16 24 -65
16 25 -23
16 29 70
17 28 -30
17 33 68
18 19 49
18 26 28
18 31 79
19 20 -56
19 34 -19
20 26 86
20 28 -74
20 37 39
20 40 40
21 25 -96
21 38 -19
22 22 9
22 26 106
22 31 -106
23 31 18
23 39 -109
23 40 96
24 33 -56
24 35 26
25 31 -57
25 34 -24
27 32 -95
27 37 62
27 40 38
28 28 -28
28 32 -88
28 37 42
30 32 43
30 35 33
31 40 -109
32 36 97
34 37 60
