55 135
1 28 15
1 37 -104
1 41 -105
1 43 61
1 46 -84
2 28 90
2 40 64
2 44 -82
2 46 -73
2 49 -108
3 8 71
3 24 20
3 28 78
3 29 -15
3 30 -35
4 15 -68
4 21 109
4 23 -51
4 27 -99
4 29 -26
5 20 -43
5 21 -76
5 22 -95
5 51 37
5 55 101
6 21 70
6 24 -25
6 38 -96
6 44 54
6 47 -20
7 11 59
7 24 -20
7 25 -102
7 29 -17
7 52 73
8 18 -107
8 22 87
8 24 86
9 13 63
9 43 84
9 48 29
10 16 -105
10 46 27
10 53 100
11 15 101
11 26 87
11 35 80
11 50 59
12 22 -58
12 31 -55
12 35 104
12 37 -27
12 39 -77
13 15 46
13 20 -62
13 45 -107
13 52 -53
14 19 -44
14 25 -72
14 27 -95
14 32 -102
14 39 -97
15 47 -23
15 50 41
16 27 72
16 43 -99
16 48 -107
16 54 -22
17 30 32
17 31 55
17 38 -19
17 40 56
17 45 -44
18 23 -108
18 25 -61
18 53 -67
18 54 79
19 23 72
19 26 42
19 27 24
19 34 -104
20 23 65
20 36 31
20 49 22
21 32 77
21 39 52
22 40 48
22 43 43
23 36 39
24 41 72
25 35 -78
25 49 -37
26 26 26
26 35 -73
26 55 -99
27 29 -78
28 51 83
28 55 63
29 47 89
30 39 -71
30 46 109
30 50 108
31 32 29
31 44 62
31 51 83
32 40 -19
32 55 -52
33 34 -79
33 35 24
33 38 15
33 42 103
33 48 -32
34 38 99
34 39 -49
34 50 20
36 37 46
36 47 107
36 49 105
37 54 52
37 55 87
38 42 -52
40 48 -35
41 41 -25
41 52 -89
41 53 46
42 44 -34
42 45 -87
42 47 -103
43 48 37
44 54 -54
45 49 23
45 51 -15
46 53 -94
50 51 -65
52 54 -53
